Hypothesis,Expected,Observed,Status
M_expr improves DAB expression agreement (lower mIOD relative error),up,"up (improved) (base=0.8725, expr=0.5406, mean_improve=+38.04%, win_rate=70.1%)",Supported
Membrane structure metrics improve without explicit membrane loss,neutral,"up (improved) (base=0.9429, expr=0.8398, mean_improve=+10.93%, win_rate=70.3%)",Contradicted
PSNR may not improve (possible trade-off),neutral/down,"down (degraded) (base=20.8023, expr=20.3819, mean_improve=-2.02%, win_rate=29.2%)",Supported
