Metric,Direction,M_base (mean),M_base (std),M_expr (mean),M_expr (std),Mean Improvement % (expr vs base),Expr Better % Samples,Winner
PSNR,higher is better,20.8023,4.2531,20.3819,4.7614,-2.02,29.17,M_base
SSIM,higher is better,0.4891,0.1833,0.4327,0.199,-11.54,18.12,M_base
LPIPS,lower is better,0.502,0.0747,0.504,0.0746,-0.41,49.33,Tie
IOD Rel Err,lower is better,0.8726,0.6353,0.5406,0.4588,38.05,70.11,M_expr
mIOD Rel Err,lower is better,0.8725,0.6353,0.5406,0.4588,38.04,70.11,M_expr
Nuclei Density Err,lower is better,0.1577,0.2056,0.0666,0.068,57.79,64.99,M_expr
Membrane Intensity Err,lower is better,0.9429,3.1393,0.8398,3.1102,10.93,70.32,M_expr
